user,text,date,location,fav_count,re_count,no_followers,hashtags
where_val,back negative. Telling people now in the middle of a worldwide pandemic that they can travel maskless is dangerous.… https://t.co/h5VkrtEbT3,2021-06-26 15:05:13,,0,0,7,[]
iShujaAhmedCh,"#UAE: As many as 103,196 #Covid vaccine doses were given in the last 24 hours.

https://t.co/9ypTv5RSgp #UAE #Dubai #DXB",2021-06-26 15:02:07,"Dubai, UAE",0,0,371,"['UAE', 'Covid', 'UAE', 'Dubai', 'DXB']"
ufailowell,"@Brooksiei @SendAliensToMe @luke_peacock @BunkiePerkins The suicide rate fell

https://t.co/z54LxmaOVL

12.6 cases… https://t.co/ul9G157AEr",2021-06-26 14:54:29,"Houston, Texas",1,0,172,[]
fhussain73,"#ArmedForcesDay2021 Thank you for the huge contribution in the pandemic. The successful covid vaccine programme, th… https://t.co/mjkPUwmCXT",2021-06-26 14:53:54,"London, England",2,0,8366,['ArmedForcesDay2021']
GabrielPelazio,@KNgoki @namibiansun Hey the indians manufactured the covid vaccine! Yet they're dying from the pandemic grow up,2021-06-26 14:49:48,Single Quarters ,0,0,28,[]
khaleejtimes,"#UAE: As many as 103,196 #Covid vaccine doses were given in the last 24 hours.

https://t.co/K344iq74O3",2021-06-26 14:49:05,United Arab Emirates,13,3,658571,"['UAE', 'Covid']"
PowerUSAID,"1.5 million doses from the US to #Honduras leaving shortly. 

These stories will become more &amp; more common, but we… https://t.co/XZuV4zVgN8",2021-06-26 14:47:30,"Washington, D.C.",39,12,31674,['Honduras']
weareoversight,"Last week, Vermont became the first state to have 80% of its eligible population at least partially vaccinated. As… https://t.co/O1Pwhvk2WT",2021-06-26 14:45:02,,30,11,106341,[]
SethMacFarlane,"“Nearly all COVID deaths in the U.S. now are people who weren’t vaccinated, a staggering demonstration of how effec… https://t.co/NMsU5Yvf2p",2021-06-26 14:44:23,,951,191,13774745,[]
NEPA_Unhinged,The pharmacist at @riteaid telling me she doesn’t know how to work the covid test registration website over a year… https://t.co/6ILINmGj2e,2021-06-26 14:44:07,already doxxed but thanks ,2,0,1137,[]
doritmi,@CcrnTcrn @erin_bsn This person was an anti-vaccine activist before the pandemic. This is well in line with prior m… https://t.co/tKnlc9ejQ5,2021-06-26 14:40:04,"Bay Area, CA",1,0,10042,[]
BeyondType2,"Over the last year @AmDiabetesAssn has advocated for and achieved: 

1. COVID Vaccine priority for all people livin… https://t.co/v9vPRHyOXd",2021-06-26 14:27:50,"California, USA",0,1,1495,[]
MarkRossini,“This is overwhelmingly now a pandemic of unvaccinated.”  COVID vaccine doubters keep virus a public health menace https://t.co/lFgUpKVr2t,2021-06-26 14:21:55,,0,0,695,[]
